PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,pred_7day,pred_28day,pred_56day,gwp
97.72,8.94,127.05,682.61,1002.54,92.95,0.73,5.0,76.59,404.43,43.17,56.73,58.26,144.37
99.04,36.71,281.97,663.37,999.88,142.68,1.67,2.44,68.47,1.24,54.68,70.8,68.88,195.7
97.63,3.41,255.43,677.98,972.21,112.96,0.73,0.0,111.41,427.22,48.58,64.49,64.85,176.23
99.1,36.06,281.3,652.65,996.38,139.57,1.67,4.64,66.76,42.72,54.79,70.19,67.92,195.33
97.7,0.38,247.24,667.9,933.91,117.74,0.65,6.89,66.04,358.25,47.97,62.41,64.37,172.98
97.64,0.03,41.34,515.87,483.63,93.54,0.13,70.75,110.65,427.81,35.62,47.57,51.43,116.38
97.58,1.08,187.66,668.53,1004.23,92.26,0.67,6.74,74.7,435.17,47.37,60.19,61.61,157.61
97.32,0.02,33.88,516.48,401.94,92.7,0.65,72.72,75.57,401.14,34.44,45.28,50.22,113.77
97.76,39.51,266.74,666.68,1002.59,136.02,0.67,4.65,64.74,22.07,53.19,68.49,68.25,191.27
97.7,34.33,281.28,651.47,996.39,139.72,1.65,4.65,65.13,42.99,54.14,69.86,67.67,193.29
102.15,46.95,281.42,664.84,999.51,146.84,1.69,5.38,92.36,0.23,56.11,73.68,71.09,202.17
97.62,4.0,67.41,654.91,948.65,92.6,0.74,74.59,105.44,437.59,39.91,53.41,56.68,126.63
97.64,0.03,35.25,568.34,485.28,93.53,0.14,74.52,110.6,425.41,35.77,47.53,51.34,114.92
99.04,36.06,281.99,653.25,1000.27,139.16,1.67,4.44,66.88,1.77,54.53,70.45,68.37,195.47
97.64,3.87,165.84,681.91,903.7,92.69,0.19,4.83,63.59,396.35,43.56,58.64,60.07,152.49
101.97,48.97,278.1,671.61,1010.63,145.0,1.7,5.6,73.75,0.99,57.28,73.5,71.63,201.83
102.06,42.49,281.58,663.63,1000.82,141.33,1.7,3.71,73.61,1.03,56.77,72.79,71.64,200.66
97.33,1.48,220.69,566.34,888.16,101.76,0.64,6.55,107.45,352.07,47.15,61.02,62.97,165.51
138.75,41.73,256.71,664.86,1000.94,146.87,1.88,6.5,73.68,4.38,56.88,74.9,72.85,232.3
97.78,3.41,255.43,674.15,976.18,112.47,0.73,0.31,74.7,427.17,48.51,64.61,65.03,176.39
97.64,0.34,106.63,668.25,1002.77,115.91,0.73,7.35,63.87,337.84,39.87,55.4,56.98,136.04
102.31,43.13,280.67,663.63,1000.82,141.33,1.68,6.57,71.96,1.03,56.61,72.82,71.62,200.89
97.62,33.62,281.28,651.47,993.33,139.72,1.65,4.05,65.13,42.99,54.14,69.59,67.67,192.96
97.57,2.52,188.19,667.59,1017.74,92.73,0.68,4.56,109.33,366.73,47.22,60.35,60.87,158.26
97.63,4.0,67.41,654.91,948.65,93.5,0.65,74.59,108.15,437.59,40.48,53.5,56.47,126.64
