PC,FA,SC,SF,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,TOTAL_BINDER,GWP,w/b,b/a,SCM%,CAGG%,FAGG%,7day,28day,56day,PC%,FA%,SC%,AEA_pct,WR_HR_pct,WR_pct,ACC_pct
162.564,83.062,262.832,0.0,668.056,952.84,163.158,0.482,0.0,1.4832,0.0,508.45799999999997,272.262,0.3208878609442668,0.31368946557953126,0.6802803771402949,0.5878477089214853,0.4121522910785146,37.2908,45.2296,52.1014,0.31971962285970523,0.1633605922219731,0.5169197849183217,0.0009479642369655941,0.0,0.0029170550959903927,0.0
162.564,83.062,262.832,0.0,710.18,1031.155,165.531,0.0,0.0,1.4832,0.0,508.45799999999997,272.661,0.32555491309016676,0.291993212104506,0.6802803771402949,0.5921634837638937,0.4078365162361062,55.6935,60.933,80.7999,0.31971962285970523,0.1633605922219731,0.5169197849183217,0.0,0.0,0.0029170550959903927,0.0
162.564,83.062,262.832,0.0,717.893,1031.155,165.531,0.0,1.4832,3.0035,0.0,508.45799999999997,272.681,0.32555491309016676,0.2907055724028157,0.6802803771402949,0.589552144938275,0.41044785506172504,54.186,66.4298,72.9869,0.31971962285970523,0.1633605922219731,0.5169197849183217,0.0,0.0029170550959903927,0.005907075903996186,0.0
162.564,83.062,262.832,0.0,771.29,952.84,173.244,0.0,0.0,2.781,0.0,508.45799999999997,272.53,0.34072430761242817,0.2949069965721842,0.6802803771402949,0.552649742188814,0.44735025781118587,63.3146,66.2816,84.3516,0.31971962285970523,0.1633605922219731,0.5169197849183217,0.0,0.0,0.0054694783049819866,0.0
163.158,0.0,245.033,0.0,631.864,1109.471,151.292,0.1891,0.0,1.0197,0.0,408.191,241.426,0.37064021499739097,0.23441267762951987,0.6002900602904033,0.637138172723801,0.36286182727619903,34.7278,48.9168,63.2438,0.39970993970959673,0.0,0.6002900602904033,0.0004632635212425966,0.0,0.002498095254421342,0.0
163.158,0.0,245.033,0.0,634.831,1109.471,151.292,0.1038,1.0197,0.0,0.0,408.191,241.434,0.37064021499739097,0.23401394941930923,0.6002900602904033,0.6360544217687074,0.3639455782312925,33.4191,47.1076,,0.39970993970959673,0.0,0.6002900602904033,0.00025429272080899803,0.002498095254421342,0.0,0.0
163.158,0.0,245.033,0.0,687.635,1109.471,151.292,0.2596,2.0394,0.0,0.0,408.191,241.571,0.37064021499739097,0.2271379651506366,0.6002900602904033,0.6173653640909329,0.38263463590906716,35.4297,53.6764,53.8481,0.39970993970959673,0.0,0.6002900602904033,0.0006359767853758756,0.004996190508842684,0.0,0.0
166.124,62.296,186.89,0.0,792.056,889.95,141.205,0.927,0.0,3.3001,0.0,415.30999999999995,249.222,0.3399990368640294,0.2469135068483703,0.6,0.5291003718179365,0.47089962818206355,47.2071,61.9862,,0.4,0.1499987960800366,0.4500012039199634,0.0022320676121397706,0.0,0.007946112542419047,0.0
170.87,52.804,276.478,26.699,698.907,1000.304,142.392,0.0,0.0,3.5226,0.0,500.15200000000004,275.06,0.28469745197459967,0.29434366891457275,0.6583638573873543,0.5886873378291454,0.4113126621708546,77.8127,90.5772,96.6124,0.34163614261264574,0.10557590492490282,0.5527879524624514,0.0,0.0,0.00704305891007725,0.0
172.057,0.0,258.086,14.833,860.285,889.95,166.124,0.0,0.0,5.562,0.0,430.14300000000003,254.069,0.38620644762323225,0.2457629975403303,0.6000004649616523,0.5084745762711864,0.4915254237288135,49.2631,61.6047,73.1534,0.3999995350383477,0.0,0.6000004649616523,0.0,0.0,0.012930583550091643,0.0
172.057,62.296,290.717,0.0,786.123,978.945,141.205,0.0,0.0,3.0406,0.0,525.0699999999999,283.164,0.2689260479555107,0.2974786240530109,0.6723160721427619,0.5546216916288778,0.44537830837112224,64.1332,78.652,84.9487,0.3276839278572381,0.11864322852191138,0.5536728436208506,0.0,0.0,0.005790846934683394,0.0
176.21,90.775,266.985,0.0,761.797,949.873,145.952,0.0,0.0,2.1692,0.0,533.97,290.422,0.2733337078862108,0.31195849667284,0.6700001872764387,0.5549393282583676,0.44506067174163244,65.0712,66.6206,82.7159,0.32999981272356127,0.17000018727643876,0.5,0.0,0.0,0.0040624005093843054,0.0
176.21,90.775,266.985,0.0,814.601,949.873,145.952,0.0,1.0012,2.1692,0.0,533.97,290.559,0.2733337078862108,0.3026227646312725,0.6700001872764387,0.5383321035050672,0.46166789649493273,62.3507,90.0432,96.6006,0.32999981272356127,0.17000018727643876,0.5,0.0,0.0018750117047739107,0.0040624005093843054,0.0
177.99,0.0,118.66,0.0,844.859,1014.543,148.325,0.2336,0.5562,0.0,0.0,296.65,223.81,0.5,0.15954054045332852,0.4,0.5456286483503836,0.4543713516496164,21.9024,32.6904,,0.6000000000000001,0.0,0.4,0.0007874599696585625,0.0018749367941956014,0.0,0.0
177.99,0.0,177.99,0.0,771.29,1008.61,160.191,0.0556,0.0,0.7416,0.0,355.98,239.26,0.45,0.2,0.5,0.5666666666666667,0.4333333333333333,25.8554,46.2868,54.7138,0.5,0.0,0.5,0.00015618854991809598,0.0,0.0020832631046629494,0.0
177.99,0.0,266.985,0.0,615.845,1038.275,165.531,0.2596,0.0,1.1124,0.0,444.975,262.46,0.3720006741951795,0.2690101080937296,0.6,0.6276902522187024,0.3723097477812976,41.403,55.8016,59.3409,0.4,0.0,0.6,0.0005834035619965539,0.0,0.0024999157255969438,0.0
177.99,0.0,266.985,0.0,659.75,1008.61,148.325,0.1038,0.0,1.854,0.0,444.975,262.465,0.3333333333333333,0.26671401855714594,0.6,0.6045517753961974,0.3954482246038025,56.235,80.0252,,0.4,0.0,0.6,0.0002332715321080212,0.0,0.00416652620932824,0.0
177.99,0.0,266.985,0.0,665.089,1008.61,167.904,0.1854,0.0,2.781,0.0,444.975,262.479,0.3773335580650598,0.26586321674327346,0.6,0.6026232912847531,0.3973767087152469,53.6578,69.3904,,0.4,0.0,0.6,0.000416652620932824,0.0,0.006249789313992359,0.0
177.99,0.0,266.985,0.0,665.089,1008.61,168.497,0.1854,0.0,0.927,0.0,444.975,262.479,0.3786662172032137,0.26586321674327346,0.6,0.6026232912847531,0.3973767087152469,50.0403,72.0398,,0.4,0.0,0.6,0.000416652620932824,0.0,0.00208326310466412,0.0
177.99,0.0,266.985,0.0,735.692,1008.61,168.497,0.2966,0.927,2.781,0.0,444.975,262.662,0.3786662172032137,0.25510204081632654,0.6,0.5782312925170068,0.42176870748299317,53.2665,73.4467,,0.4,0.0,0.6,0.0006665543008019179,0.00208326310466412,0.006249789313992359,0.0
177.99,0.0,266.985,0.0,878.677,889.95,163.751,0.0,0.0,0.0,0.0,444.975,262.595,0.368000449463453,0.2515934677012168,0.6,0.5031869354024336,0.4968130645975664,40.1103,62.5355,,0.4,0.0,0.6,0.0,0.0,0.0,0.0
177.99,38.564,286.564,14.833,812.821,976.572,130.526,0.0,1.1124,2.4102,0.0,503.11800000000005,280.651,0.2594341685250776,0.2811668537878488,0.6462261338294396,0.5457560189405011,0.454243981059499,77.7964,106.0791,111.0426,0.3537738661705604,0.07665001053430805,0.5695761232951315,0.0,0.0022110121283631058,0.004790526278120062,0.0
177.99,71.196,106.794,0.0,711.96,1085.739,130.526,0.445,0.0,1.372,0.0,355.98,243.948,0.3666666666666667,0.19801980198019803,0.5,0.6039603960396039,0.39603960396039606,34.4237,51.7846,52.4982,0.5,0.19999999999999998,0.3,0.00125007022866102,0.0,0.003854149109489707,0.0
177.99,71.196,106.794,0.0,711.96,1085.739,137.646,0.1483,0.0,1.6686,0.0,355.98,243.948,0.38666779032529913,0.19801980198019803,0.5,0.6039603960396039,0.39603960396039606,35.7333,51.5394,55.4924,0.5,0.19999999999999998,0.3,0.00041659643800096463,0.0,0.0046873419854916365,0.0
177.99,71.196,106.794,0.0,711.96,1085.739,138.239,0.2966,0.0,1.4832,0.0,355.98,243.948,0.38833361424799145,0.19801980198019803,0.5,0.6039603960396039,0.39603960396039606,34.8219,51.2981,57.7931,0.5,0.19999999999999998,0.3,0.0008331928760019293,0.0,0.004166526209325899,0.0
177.99,71.196,106.794,0.0,711.96,1085.739,138.832,0.1483,0.0,1.2978,0.0,355.98,243.948,0.3899994381706837,0.19801980198019803,0.5,0.6039603960396039,0.39603960396039606,35.4109,53.8577,,0.5,0.19999999999999998,0.3,0.00041659643800096463,0.0,0.0036457104331601617,0.0
177.99,71.196,106.794,0.0,717.893,1085.739,135.272,0.2225,0.0,1.2236,0.0,355.98,243.963,0.3799988763413675,0.19736842105263158,0.5,0.6019736842105263,0.3980263157894737,34.6194,52.5939,58.0145,0.5,0.19999999999999998,0.3,0.00062503511433051,0.0,0.003437271756830616,0.0
177.99,71.196,106.794,0.0,717.893,1111.251,135.272,0.0853,0.0,1.2978,0.0,355.98,244.058,0.3799988763413675,0.19461562348289693,0.5,0.6075251593094912,0.3924748406905088,39.8018,58.1045,63.4259,0.5,0.19999999999999998,0.3,0.00023962020338153935,0.0,0.0036457104331601617,0.0
177.99,71.196,106.794,0.0,717.893,1111.251,135.272,0.1854,0.0,1.4832,0.0,355.98,244.058,0.3799988763413675,0.19461562348289693,0.5,0.6075251593094912,0.3924748406905088,37.1972,56.3905,60.1309,0.5,0.19999999999999998,0.3,0.0005208157761657374,0.0,0.004166526209325899,0.0
